energy_densityc2,pressurec2,baryon_density
1.440786571999999869e+05,9.370883192000000195e-01,1.440786571999999869e+05
1.584150025000000023e+05,1.099052066999999910e+00,1.584150025000000023e+05
1.741776555999999982e+05,1.288338672999999934e+00,1.741776555999999982e+05
1.915095860000000102e+05,1.509324574000000085e+00,1.915095860000000102e+05
2.105644591000000073e+05,1.768168865999999895e+00,2.105644591000000073e+05
2.315160844999999972e+05,2.069866567000000046e+00,2.315160844999999972e+05
2.545534243000000133e+05,2.422780143999999858e+00,2.545534243000000133e+05
2.798832674000000115e+05,2.834450257999999945e+00,2.798832674000000115e+05
3.077320116999999736e+05,3.314414150000000170e+00,3.077320116999999736e+05
3.383527951999999932e+05,3.875221760000000071e+00,3.383527951999999932e+05
3.720201479999999865e+05,4.527372964999999638e+00,3.720201479999999865e+05
4.090371224999999977e+05,5.288997437999999995e+00,4.090371224999999977e+05
4.497370765000000247e+05,6.174695179999999617e+00,4.497370765000000247e+05
4.944890210000000079e+05,7.205822480000000141e+00,4.944890210000000079e+05
5.436922722999999532e+05,8.407087031999999738e+00,5.436922722999999532e+05
5.977924958999999799e+05,9.800879071000000664e+00,5.977924958999999799e+05
6.572745757000000449e+05,1.142534756000000051e+01,6.572745757000000449e+05
7.226768756999999750e+05,1.330828419999999923e+01,7.226768756999999750e+05
7.945858917000000365e+05,1.549712562000000027e+01,7.945858917000000365e+05
8.736505126000000164e+05,1.803822103999999982e+01,8.736505126000000164e+05
9.605838031999999657e+05,2.098050450999999939e+01,9.605838031999999657e+05
1.056166568999999901e+06,2.440089791000000119e+01,1.056166568999999901e+06
1.161259837000000058e+06,2.835270282999999836e+01,1.161259837000000058e+06
1.276811980999999912e+06,3.293877884999999850e+01,1.276811980999999912e+06
1.403860513000000035e+06,3.824255456000000208e+01,1.403860513000000035e+06
1.543553465000000084e+06,4.437188099000000108e+01,1.543553465000000084e+06
1.697145831999999937e+06,5.147507561999999837e+01,1.697145831999999937e+06
1.866019178000000073e+06,5.965713723999999729e+01,1.866019178000000073e+06
2.051701242000000086e+06,6.913341140999999368e+01,2.051701242000000086e+06
2.255851683000000194e+06,8.004989813000000254e+01,2.255851683000000194e+06
2.480324470999999903e+06,9.264422623000000101e+01,2.480324470999999903e+06
2.727134012000000104e+06,1.071868254999999976e+02,2.727134012000000104e+06
2.998508634000000078e+06,1.238946459999999945e+02,2.998508634000000078e+06
3.296890583999999799e+06,1.432010526999999911e+02,3.296890583999999799e+06
3.624953853999999817e+06,1.653575792999999976e+02,3.624953853999999817e+06
3.985657665000000037e+06,1.908820890000000077e+02,3.985657665000000037e+06
4.382264286000000313e+06,2.202371826000000112e+02,4.382264286000000313e+06
4.818321214999999851e+06,2.538974047000000098e+02,4.818321214999999851e+06
5.297785961000000127e+06,2.926863452000000052e+02,5.297785961000000127e+06
5.824972566999999806e+06,3.370568000000000097e+02,5.824972566999999806e+06
6.404605086000000127e+06,3.880961930999999936e+02,6.404605086000000127e+06
7.041906718000000343e+06,4.465710690000000227e+02,7.041906718000000343e+06
7.742653286999999546e+06,5.135207195000000411e+02,7.742653286999999546e+06
8.513119763000000268e+06,5.904425807999999734e+02,8.513119763000000268e+06
9.360258527000000700e+06,6.782048091000000341e+02,9.360258527000000700e+06
1.029169936999999918e+07,7.790089920000000347e+02,1.029169936999999918e+07
1.131583864000000060e+07,8.940851661000000377e+02,1.131583864000000060e+07
1.244189268999999948e+07,1.025716920999999957e+03,1.244189268999999948e+07
1.368000485999999940e+07,1.176467724999999973e+03,1.368000485999999940e+07
1.504131680000000075e+07,1.348166590000000042e+03,1.504131680000000075e+07
1.653811103999999911e+07,1.545049119000000019e+03,1.653811103999999911e+07
1.818386451000000164e+07,1.769135068000000047e+03,1.818386451000000164e+07
1.999344462000000104e+07,2.025317845999999918e+03,1.999344462000000104e+07
2.198307357000000030e+07,2.317745704999999816e+03,2.198307357000000030e+07
2.417057800000000000e+07,2.650515202999999929e+03,2.417057800000000000e+07
2.657592371000000089e+07,3.031345265999999810e+03,2.657592371000000089e+07
2.922068091000000015e+07,3.463836870999999974e+03,2.922068091000000015e+07
3.212855901000000164e+07,3.958026405000000068e+03,3.212855901000000164e+07
3.532576314000000060e+07,4.520456237000000328e+03,3.532576314000000060e+07
3.884135068999999762e+07,5.160271421999999802e+03,3.884135068999999762e+07
4.270669650000000000e+07,5.890895403999999871e+03,4.270669650000000000e+07
4.695674075999999791e+07,6.719458832000000257e+03,4.695674075999999791e+07
5.162963240999999642e+07,7.665677945000000364e+03,5.162963240999999642e+07
5.676779882999999821e+07,8.739803051000000778e+03,5.676779882999999821e+07
6.241723267000000179e+07,9.961906920999999784e+03,6.241723267000000179e+07
6.862909635999999940e+07,1.135407674000000043e+04,6.862909635999999940e+07
7.545900892000000179e+07,1.293194643999999971e+04,7.545900892000000179e+07
8.296882873000000417e+07,1.473223888000000079e+04,8.296882873000000417e+07
9.122594042000000179e+07,1.677190714999999909e+04,9.122594042000000179e+07
1.003048592000000030e+08,1.909320034999999916e+04,1.003048592000000030e+08
1.102875877000000030e+08,2.173118344000000070e+04,1.102875877000000030e+08
1.212637935999999940e+08,2.472106398999999874e+04,1.212637935999999940e+08
1.333324147000000030e+08,2.812826569999999992e+04,1.333324147000000030e+08
1.466023715999999940e+08,3.198345033999999941e+04,1.466023715999999940e+08
1.611931028000000119e+08,3.637147262000000046e+04,1.611931028000000119e+08
1.772359904000000060e+08,4.134741679999999906e+04,1.772359904000000060e+08
1.948752516999999881e+08,4.698936346999999660e+04,1.948752516999999881e+08
2.142706131999999881e+08,5.340855073000000266e+04,2.142706131999999881e+08
2.355983803000000119e+08,6.066683694999999716e+04,2.355983803000000119e+08
2.590457323000000119e+08,6.892769221999999718e+04,2.590457323000000119e+08
2.848301541000000238e+08,7.827793219000000681e+04,2.848301541000000238e+08
3.131798265000000000e+08,8.888530534000000625e+04,3.131798265000000000e+08
3.443514526000000238e+08,1.009323561999999947e+05,3.443514526000000238e+08
3.786249103999999762e+08,1.145522497000000003e+05,3.786249103999999762e+08
4.163121658000000119e+08,1.300458991999999998e+05,4.163121658000000119e+08
4.577501418000000119e+08,1.475575218999999925e+05,4.577501418000000119e+08
5.033131975000000000e+08,1.674347368999999890e+05,5.033131975000000000e+08
5.534113450000000000e+08,1.899658007999999973e+05,5.534113450000000000e+08
6.084973806000000238e+08,2.154453874000000069e+05,6.084973806000000238e+08
6.690668842000000477e+08,2.444047300999999861e+05,6.690668842000000477e+08
7.356671330000000000e+08,2.771023147999999928e+05,7.356671330000000000e+08
8.088971015000000000e+08,3.142315970000000088e+05,8.088971015000000000e+08
8.894181572000000477e+08,3.562382421999999788e+05,8.894181572000000477e+08
9.779540607999999523e+08,4.037675739000000176e+05,9.779540607999999523e+08
1.075307010000000000e+09,4.577127059000000008e+05,1.075307010000000000e+09
1.182350510000000000e+09,5.185941753000000026e+05,1.182350510000000000e+09
1.300052545000000000e+09,5.877204560999999521e+05,1.300052545000000000e+09
1.429473799000000000e+09,6.658010476000000490e+05,1.429473799000000000e+09
1.571780134000000000e+09,7.541979035999999614e+05,1.571780134000000000e+09
1.728256848000000000e+09,8.543567628000000259e+05,1.728256848000000000e+09
1.900317593000000000e+09,9.673810929999999935e+05,1.900317593000000000e+09
2.089493674000000000e+09,1.095647182999999961e+06,2.089493674000000000e+09
2.297530319000000000e+09,1.240336935999999987e+06,2.297530319000000000e+09
2.526263668000000000e+09,1.404211696999999927e+06,2.526263668000000000e+09
2.777797263000000000e+09,1.589549708000000101e+06,2.777797263000000000e+09
3.054359431000000000e+09,1.798723691000000108e+06,3.054359431000000000e+09
3.358463726000000000e+09,2.035889030999999959e+06,3.358463726000000000e+09
3.692855446000000000e+09,2.303127876999999862e+06,3.692855446000000000e+09
4.060547291000000000e+09,2.605859521999999881e+06,4.060547291000000000e+09
4.464855012000000000e+09,2.947595810000000056e+06,4.464855012000000000e+09
4.909433065000000000e+09,3.333399500000000000e+06,4.909433065000000000e+09
5.398274613000000000e+09,3.770151666999999899e+06,5.398274613000000000e+09
5.935818484000000000e+09,4.262005912999999709e+06,5.935818484000000000e+09
6.526895693000000000e+09,4.818998626000000164e+06,6.526895693000000000e+09
7.176854224000000000e+09,5.446638230000000447e+06,7.176854224000000000e+09
7.891541209000000000e+09,6.155424605000000447e+06,7.891541209000000000e+09
8.677427711000000000e+09,6.956338946000000462e+06,8.677427711000000000e+09
9.541590897000000000e+09,7.857920205000000075e+06,9.541590897000000000e+09
1.049183883000000000e+10,8.878084134999999776e+06,1.049183883000000000e+10
1.153672828000000000e+10,1.002588666000000015e+07,1.153672828000000000e+10
1.268572518000000000e+10,1.132211360999999940e+07,1.268572518000000000e+10
1.394918681000000000e+10,1.278375375999999978e+07,1.394918681000000000e+10
1.533852219000000000e+10,1.442877633999999985e+07,1.533852219000000000e+10
1.686626345000000000e+10,1.628762922000000067e+07,1.686626345000000000e+10
1.854627968000000000e+10,1.837621373000000045e+07,1.854627968000000000e+10
