energy_densityc2,pressurec2,baryon_density
3.179301310000000000e+12,3.813411404000000000e+09,3.179301310000000000e+12
4.486510445000000000e+12,5.861540014000000000e+09,4.486510445000000000e+12
6.056241610000000000e+12,8.676312082000000000e+09,6.056241610000000000e+12
7.912515056000000000e+12,1.240315620000000000e+10,7.912515056000000000e+12
1.260368851000000000e+13,2.324854630000000000e+10,1.260368851000000000e+13
1.883996563000000000e+13,3.987992476000000000e+10,1.883996563000000000e+13
2.694281355000000000e+13,6.410318756000000000e+10,2.694281355000000000e+13
3.720147576000000000e+13,9.804691081000000000e+10,3.720147576000000000e+13
4.971903515000000000e+13,1.440599832000000000e+11,4.987310869184308594e+13
7.207787173000000000e+13,2.405635929000000000e+11,7.284036136070039062e+13
1.051787088000000000e+14,4.281075040000000000e+11,1.071084972240205000e+14
1.238243629000000000e+14,5.614856626000000000e+11,1.260995693914595000e+14
1.285583357000000000e+14,5.976369630000000000e+11,1.308992296729458594e+14
1.694926328000000000e+14,1.103209950000000000e+12,1.729272070823940938e+14
2.552039839000000000e+14,3.318820669000000000e+12,2.623957381532193750e+14
3.419653727000000000e+14,7.742765114000000000e+12,3.513223912337516250e+14
4.301868141000000000e+14,1.520824786000000000e+13,4.400451791051196250e+14
5.202583220000000000e+14,2.643529066000000000e+13,5.286729464369587500e+14
6.125399094000000000e+14,4.209306531000000000e+13,6.172370683107075000e+14
7.074115899000000000e+14,6.281246708000000000e+13,7.057788732275041250e+14
8.052133758000000000e+14,8.919546131000000000e+13,7.943031099250386250e+14
9.062852792000000000e+14,1.218173088000000000e+14,8.828204074046993750e+14
1.010987313000000000e+15,1.612399179000000000e+14,9.713639981994001250e+14
1.119459483000000000e+15,2.079951546000000000e+14,1.059789967977612250e+15
1.232331811000000000e+15,2.625837294000000000e+14,1.148362932250698250e+15
1.349604297000000000e+15,3.255174797000000000e+14,1.236846928381838000e+15
1.471676955000000000e+15,3.972526084000000000e+14,1.325329005341992500e+15
1.598849797000000000e+15,4.782453186000000000e+14,1.413822164965807250e+15
1.731422834000000000e+15,5.689073054000000000e+14,1.502343119622369750e+15
1.869596071000000000e+15,6.696502642000000000e+14,1.590847427337815000e+15
2.013669521000000000e+15,7.808413828000000000e+14,1.679362264885740750e+15
2.163843190000000000e+15,9.028255951000000000e+14,1.767857459814334500e+15
2.320417090000000000e+15,1.035925581000000000e+15,1.856367740801108500e+15
2.483591226000000000e+15,1.180452894000000000e+15,1.944873663697613000e+15
2.653565608000000000e+15,1.336674580000000000e+15,2.033362244567912250e+15
2.830640244000000000e+15,1.504802049000000000e+15,2.121876670883204500e+15
3.014915140000000000e+15,1.685057840000000000e+15,2.210363295678753250e+15
3.206690305000000000e+15,1.877775760000000000e+15,2.298869656399574500e+15
3.406065743000000000e+15,2.082955809000000000e+15,2.387352877586158000e+15
3.613341466000000000e+15,2.300931794000000000e+15,2.475864063767096500e+15
3.828617476000000000e+15,2.531814983000000000e+15,2.564368415896345500e+15
4.052093782000000000e+15,2.775827915000000000e+15,2.652877232375766500e+15
4.283870385000000000e+15,3.032970590000000000e+15,2.741365282713871500e+15
