pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.989895138486149406e+00,9.999999999999998224e+00
1.428608608151581905e-07,1.022259321594789050e+01,1.023293345021969891e+01
1.481685394242434696e-07,1.046071161013528972e+01,1.047129269966252352e+01
1.536734130667103744e-07,1.070437657836050072e+01,1.071520413334179977e+01
1.593828080869087669e-07,1.095371731889093070e+01,1.096479708020056698e+01
1.653043230232731462e-07,1.120886603945401916e+01,1.122020388168557226e+01
1.714458387210902720e-07,1.146995802733757053e+01,1.148155996191852068e+01
1.778155288209841867e-07,1.173713172112305969e+01,1.174900389950192547e+01
1.844218706370779511e-07,1.201052878408980007e+01,1.202267750099749399e+01
1.912736564393097658e-07,1.229029417932892976e+01,1.230272587611610646e+01
1.983800051549179571e-07,1.257657624660713047e+01,1.258929751465919722e+01
2.057503745046683242e-07,1.286952678102061931e+01,1.288254436525238411e+01
2.133945735899777432e-07,1.316930111348142063e+01,1.318262191591304244e+01
2.213227759476820677e-07,1.347605819307831077e+01,1.348968927649459104e+01
2.295455330898275095e-07,1.378996067135626014e+01,1.380390926305114618e+01
2.380737885465039802e-07,1.411117498855915997e+01,1.412544848416746568e+01
2.469188924303951167e-07,1.443987146188086967e+01,1.445447742929924217e+01
2.560926165424705239e-07,1.477622437577301007e+01,1.479117055917218693e+01
2.656071700388677068e-07,1.512041207435520995e+01,1.513570639828579267e+01
2.754752156798569487e-07,1.547261705597851034e+01,1.548826762957230230e+01
2.857098866824973718e-07,1.583302606999131967e+01,1.584904119126054134e+01
2.963248041994160720e-07,1.620183021575936166e+01,1.621821837599598481e+01
3.073340954469721045e-07,1.657922504399212116e+01,1.659599493226971489e+01
3.187524125069334761e-07,1.696541066042959045e+01,1.698257116820993318e+01
3.305949518266874385e-07,1.736059183194413080e+01,1.737815205779120831e+01
3.428774744439382851e-07,1.776497809511388937e+01,1.778294734951760603e+01
3.556163269628097160e-07,1.817878386732519047e+01,1.819717167763745280e+01
3.688284633092662719e-07,1.860222856046287987e+01,1.862104467594868495e+01
3.825314672948105577e-07,1.903553669724898967e+01,1.905479109425505868e+01
