rhoc,R,M,Lambda
224000000000000.0,15.960020199999935,0.2833343922774605,2390711.072923743
239847072031241.5,15.440022799999937,0.3165710489071742,1423919.4656767002
255694144062482.97,15.06002469999994,0.3512651255178731,873692.6137470941
271541216093724.44,14.78002609999994,0.38738094341275725,550120.5349897484
287388288124965.94,14.540027299999942,0.4249027137497439,354301.87173970236
303235360156207.44,14.360028199999942,0.46369458845008926,233049.3203997222
319082432187448.9,14.220028899999942,0.5036512509721529,156299.46974903913
334929504218690.4,14.100029499999943,0.5446665604958756,106726.40179083135
350776576249931.9,14.000029999999944,0.586563368801659,74136.41984898355
366623648281173.4,13.920030399999945,0.6293175094181198,52285.84502589657
382470720312414.9,13.860030699999944,0.6726809356187001,37439.70319016943
398317792343656.3,13.800030999999946,0.716596000865781,27178.988909870895
414164864374897.8,13.740031299999945,0.7607950236360449,20003.88178563406
430011936406139.3,13.700031499999946,0.8053431764554374,14897.589852597626
445859008437380.75,13.680031599999946,0.8499819478645483,11229.005987542392
461706080468622.25,13.640031799999946,0.8945996215547195,8558.549921590227
477553152499863.75,13.620031899999946,0.9390730323364838,6593.550470149076
493400224531105.25,13.580032099999945,0.9833171165968063,5131.049182144199
509247296562346.75,13.560032199999947,1.027201026498831,4031.468701490672
525094368593588.2,13.540032299999947,1.070621533416892,3197.0230194356304
540941440624829.7,13.520032399999947,1.1136095416059046,2555.97814749095
556788512656071.2,13.480032599999946,1.1559997673529028,2060.3113604576265
572635584687312.6,13.460032699999946,1.197646668888792,1674.426684472567
588482656718554.1,13.440032799999948,1.2386039613862883,1370.7829966974532
604329728749795.6,13.420032899999947,1.2788018713846956,1129.8615597874254
620176800781037.1,13.400032999999947,1.318049062533812,938.1651096381584
636023872812278.6,13.360033199999947,1.3565724085126747,783.4929889058524
651870944843520.0,13.340033299999947,1.3940734602791203,658.7025074280225
667718016874761.5,13.320033399999947,1.4307174278133468,556.8148897275594
683565088906003.0,13.280033599999948,1.466341745734536,473.4628415994871
699412160937244.5,13.260033699999948,1.5009622440853971,404.8035983554128
715259232968486.0,13.220033899999947,1.5346862671704882,347.7225903423826
731106304999727.5,13.200033999999947,1.5673352246169274,300.2800676650527
746953377030969.0,13.160034199999949,1.5989156922268084,260.5933768740414
762800449062210.5,13.140034299999948,1.6296215134883443,227.03499458366827
778647521093452.0,13.100034499999948,1.659278759145807,198.69096948269322
794494593124693.5,13.060034699999948,1.6879003497471423,174.63954145203064
810341665155934.9,13.04003479999995,1.7155093830454395,154.13091429827625
826188737187176.4,13.000034999999949,1.7421145230175819,136.55056314842545
842035809218417.9,12.960035199999949,1.7678398786323353,121.39290953480065
857882881249659.4,12.92003539999995,1.7925882272653717,108.29393896251266
873729953280900.9,12.90003549999995,1.8163957079564683,96.94693064929068
889577025312142.4,12.86003569999995,1.8392431279136006,87.06673410420021
905424097343383.9,12.820035899999949,1.8612027148009558,78.44644930215716
921271169374625.2,12.78003609999995,1.8822734771292968,70.88864654260186
937118241405866.8,12.74003629999995,1.9024785320295672,64.2530166999464
952965313437108.2,12.70003649999995,1.9218213127992037,58.400184263614506
968812385468349.8,12.660036699999951,1.9403535631289688,53.22403032347658
984659457499591.2,12.62003689999995,1.9580809387762304,48.63784986736151
1000506529530832.8,12.60003699999995,1.975014876894405,44.55253627740539
1016353601562074.2,12.56003719999995,1.9911894714808114,40.91066614341983
1032200673593315.8,12.520037399999952,2.006623577744237,37.65603805777167
1048047745624557.2,12.480037599999951,2.021344006538719,34.74110043637417
1063894817655798.6,12.440037799999951,2.035351623892925,32.122384644857235
1079741889687040.1,12.400037999999952,2.0487334234685766,29.75529183830794
1095588961718281.6,12.360038199999952,2.0614710903227778,27.62035226193432
1111436033749523.1,12.320038399999952,2.073554138713297,25.69183980103888
1127283105780764.5,12.280038599999951,2.0850099705086245,23.943335982660376
1143130177812006.0,12.240038799999953,2.095885283324182,22.356013484582864
1158977249843247.5,12.200038999999952,2.106178387290222,20.91307148237275
1174824321874489.0,12.160039199999952,2.115943130428541,19.595122339830652
1190671393905730.5,12.120039399999953,2.1251906230401474,18.386554589307902
1206518465936972.0,12.080039599999953,2.1339045344099308,17.285485355426786
1222365537968213.5,12.040039799999953,2.1420964553217865,16.274226370471897
1238212609999455.0,12.020039899999952,2.1498290120215553,15.348439287981378
1254059682030696.5,11.980040099999954,2.157147523085501,14.490289030887043
1269906754061938.0,11.940040299999954,2.163991185556634,13.702968228712104
1285753826093179.5,11.900040499999953,2.17040855582658,12.977134365768915
1301600898124421.0,11.860040699999955,2.1763923267329846,12.309229919422677
1317447970155662.5,11.820040899999954,2.1820272036047332,11.683683145253271
1333295042186904.0,11.780041099999954,2.187270015684011,11.106764954620552
1349142114218145.5,11.760041199999954,2.192117189972869,10.573940370505067
1364989186249387.0,11.720041399999955,2.1966471577986795,10.076537092736528
1380836258280628.2,11.680041599999955,2.2008523672961933,9.61295327072677
1396683330311869.8,11.640041799999954,2.2046993596262285,9.183085319100172
1412530402343111.2,11.600041999999956,2.208236530643448,8.781967887970515
1428377474374352.8,11.580042099999956,2.2114809746849136,8.405472903965535
1444224546405594.2,11.540042299999955,2.2144365635924257,8.054997164375722
1460071618436835.8,11.500042499999957,2.2171297313472884,7.725593731267161
1475918690468077.2,11.460042699999956,2.2195400347841443,7.417509180504091
1491765762499318.8,11.440042799999956,2.2217025786595204,7.130034982135222
1507612834530560.2,11.400042999999956,2.2236405466878915,6.857639828143748
1523459906561801.8,11.360043199999957,2.2253135616343784,6.602644369174279
1539306978593043.2,11.340043299999957,2.226772507562931,6.363076486959995
1555154050624284.8,11.300043499999957,2.2280143395017777,6.136168027750057
1571001122655526.2,11.260043699999956,2.2290407759721322,5.923948564870466
1586848194686767.8,11.240043799999958,2.229891290098827,5.72261600098003
1602695266718009.2,11.200043999999957,2.2305308352960482,5.5324351174596424
1618542338749250.5,11.160044199999957,2.2310083952982267,5.354193891239527
1634389410780492.0,11.140044299999957,2.231295543284597,5.183543060086169
1650236482811733.5,11.100044499999958,2.2314198132306595,5.023150498411061
