rhoc,M,R,Lambda,I
1.842222513658665750e+15,1.952873020146674632e+00,1.020004899999995729e+01,8.223289389971903063e+00,1.791467366908133352e+00
1.852529663427192250e+15,1.954162551321133146e+00,1.019004904999995809e+01,8.048677497688618843e+00,1.789416630859438140e+00
1.862836813195718750e+15,1.955400520194584324e+00,1.017004914999995790e+01,7.879999787288603841e+00,1.787337853624340500e+00
1.873143962964245250e+15,1.956582840803542611e+00,1.016004919999995693e+01,7.715519222869926530e+00,1.785124339450674835e+00
1.883451112732771750e+15,1.957697464040399460e+00,1.014004929999995674e+01,7.557385616461790079e+00,1.782865264586186882e+00
1.893758262501298500e+15,1.958750143894812057e+00,1.013004934999995754e+01,7.404844599999808707e+00,1.780560021663371240e+00
1.904065412269825000e+15,1.959773043090246247e+00,1.011004944999995736e+01,7.255493622292176426e+00,1.778172472580285213e+00
1.914372562038351500e+15,1.960706601008756822e+00,1.010004949999995816e+01,7.112266576450537947e+00,1.775684336213043890e+00
1.924679711806878000e+15,1.961593573003251656e+00,1.008004959999995798e+01,6.974071037187518307e+00,1.773194224218116455e+00
1.934986861575404500e+15,1.962428559869779265e+00,1.007004964999995700e+01,6.839004811600163158e+00,1.770558417192863443e+00
1.945294011343931000e+15,1.963209784744040176e+00,1.005004974999995859e+01,6.707682657568786233e+00,1.767897229138276849e+00
1.955601161112457500e+15,1.963939567102051642e+00,1.004004979999995761e+01,6.581993851351667146e+00,1.765222898831250165e+00
1.965908310880984000e+15,1.964628624196833373e+00,1.002004989999995743e+01,6.458200024578424348e+00,1.762443365407811546e+00
1.976215460649510750e+15,1.965254022330799932e+00,1.001004994999995823e+01,6.338734798450618158e+00,1.759597826754888406e+00
1.986522610418037250e+15,1.965830997472640229e+00,9.990050049999958048e+00,6.224270654249012047e+00,1.756735052719236245e+00
1.996829760186563750e+15,1.966355630489654782e+00,9.980050099999958846e+00,6.111475668395350169e+00,1.753768304993002625e+00
2.007136909955090250e+15,1.966846914655270284e+00,9.960050199999958664e+00,6.001754165156019560e+00,1.750780428475826156e+00
2.017444059723616750e+15,1.967283649279459423e+00,9.950050249999957686e+00,5.896435747462058785e+00,1.747758756527182156e+00
2.027751209492143250e+15,1.967682863322687048e+00,9.930050349999959280e+00,5.794702257936433121e+00,1.744699602176581044e+00
2.038058359260669750e+15,1.968030762100921871e+00,9.920050399999958302e+00,5.693761553068425130e+00,1.741537092002008569e+00
2.048365509029196500e+15,1.968328823128075777e+00,9.900050499999958120e+00,5.597555670481165535e+00,1.738347814145837056e+00
2.058672658797723000e+15,1.968596029916528600e+00,9.890050549999958918e+00,5.503778804031115079e+00,1.735166917002251008e+00
2.068979808566249500e+15,1.968818197965536587e+00,9.870050649999958736e+00,5.411311481466489326e+00,1.731872731835107926e+00
2.079286958334776000e+15,1.969005784363424771e+00,9.860050699999959534e+00,5.322665555796571191e+00,1.728581141781509789e+00
2.089594108103302500e+15,1.969144162528804864e+00,9.840050799999959352e+00,5.237026628071068224e+00,1.725261395779818185e+00
2.099901257871829000e+15,1.969250733889522209e+00,9.830050849999958373e+00,5.152361794972994957e+00,1.721876299007577549e+00
2.110208407640355500e+15,1.969326035895970328e+00,9.820050899999959171e+00,5.070330000818296767e+00,1.718470216624178981e+00
2.120515557408882000e+15,1.969346550230072879e+00,9.800050999999958989e+00,4.991664077316631420e+00,1.715020669078974214e+00
2.130822707177408750e+15,1.969348974826921284e+00,9.790051049999959787e+00,4.914210908010815615e+00,1.711575834260866458e+00
2.141129856945935250e+15,1.969307995622843421e+00,9.770051149999959605e+00,4.838551165413814914e+00,1.708043203451387937e+00
2.151437006714461750e+15,1.969228055150796353e+00,9.760051199999958627e+00,4.765146803690610611e+00,1.704495374897516902e+00
2.161744156482988250e+15,1.969122632795321515e+00,9.750051249999959424e+00,4.694288880798580088e+00,1.700965550412522065e+00
2.172051306251514750e+15,1.968979314768115385e+00,9.730051349999959243e+00,4.624804876726892999e+00,1.697346882320949657e+00
2.182358456020041250e+15,1.968798133371403303e+00,9.720051399999960040e+00,4.556363867584095395e+00,1.693699722471403213e+00
2.192665605788567750e+15,1.968595700229188727e+00,9.710051449999959061e+00,4.490768501818417135e+00,1.690070361789993925e+00
2.202972755557094500e+15,1.968364091423986162e+00,9.690051549999958880e+00,4.427098501208752701e+00,1.686427366947722328e+00
2.213279905325621000e+15,1.968092352752098373e+00,9.680051599999959677e+00,4.363524587165841240e+00,1.682695566485533201e+00
2.223587055094147500e+15,1.967798132942884415e+00,9.660051699999959496e+00,4.302949517540494817e+00,1.678980183506109780e+00
2.233894204862674000e+15,1.967471839613626816e+00,9.650051749999960293e+00,4.244188640091687503e+00,1.675264375761465363e+00
2.244201354631200500e+15,1.967119764949321281e+00,9.640051799999959314e+00,4.185519319679410266e+00,1.671497849621048415e+00
2.254508504399727000e+15,1.966732880757555035e+00,9.620051899999959133e+00,4.128792085173560444e+00,1.667689363308943573e+00
2.264815654168253500e+15,1.966315183131846167e+00,9.610051949999959930e+00,4.073585564006782178e+00,1.663876291370780081e+00
2.275122803936780000e+15,1.965890000716144836e+00,9.600051999999960728e+00,4.020610702128125880e+00,1.660112922983347561e+00
