EoS,rhoc,M,R,Lambda
macro-pwp_MS1cr.csv,1.10285714286e+15,2.785874604439923,13.5600000003,4.95086252846
macro-pwp_SLycr.csv,1.97714285714e+15,2.0822181182808626,9.93760382733,4.2453604944
macro-pwp_H4cr.csv,1.61714285714e+15,2.049346839165319,11.8400000004,16.26854729
macro-spec_ENGcr.csv,1.82285714286e+15,2.243166176514461,10.3778115049,2.88422138555
