EoS,M,rhoc,R,Lambda,I 
AP4_LAL,1.338,8.80776025949e+14,11.4398232384,347.846391041,1.24127316096
APR4_EPP,1.338,8.89317395653e+14,11.3327723631,333.234909297,1.22418370453
APR_LAL,1.338,8.90600802378e+14,11.3611629849,330.375304445,1.22420252465
BHF_BBB2_LAL,1.338,1.00237178491e+15,11.2398477722,299.695201342,1.19335241942
H3_LAL,1.338,5.91202485212e+14,13.9308399726,1142.28352413,1.70689306128
H4_LAL,1.338,5.43202357353e+14,13.69003155,1186.42906745,1.72670662549
HQC18_LAL,1.338,8.7644612674e+14,11.5141507032,347.535910982,1.2351849498
KDE0V1_LAL,1.338,9.11850881452e+14,11.6940421125,367.071420489,1.25485571644
KDE0V_LAL,1.338,9.45212856456e+14,11.4846299718,339.864260487,1.22431418824
MPA1_LAL,1.338,6.56324461704e+14,12.4413536232,634.486191928,1.45326097057
MS1B_LAL,1.338,4.38547926249e+14,14.5274763366,1674.815881,1.8864328592
MS1B_PP,1.338,4.34270790995e+14,14.4999355209,1671.46714838,1.8748682829
MS1_LAL,1.338,4.29044836203e+14,14.8811589198,1907.67146132,1.94534230432
MS1_PP,1.338,4.19345836933e+14,14.9186887764,1794.65933211,1.94096469025
RS_LAL,1.338,6.6666619805e+14,12.9858489366,803.866045331,1.54609169974
SK255_LAL,1.338,6.64460940308e+14,13.2231894711,792.397748625,1.54133477694
SK272_LAL,1.338,6.28381853565e+14,13.3745001899,862.655479776,1.5764299247
SKA_LAL,1.338,6.60774267406e+14,12.9608505714,758.571132914,1.52188586767
SKB_LAL,1.338,7.06337724189e+14,12.2200389,649.689521987,1.44828530526
SKI2_LAL,1.338,5.96350518239e+14,13.5402699018,1041.09191915,1.66169816596
SKI3_LAL,1.338,5.77242308427e+14,13.5947306239,1052.7231295,1.66558981109
SKI4_LAL,1.338,7.06047034374e+14,12.3956571212,652.759899157,1.4462592093
SKI5_LAL,1.338,5.31223870185e+14,14.1399841008,1373.64503066,1.79221137431
SKI6_LAL,1.338,6.90970143445e+14,12.5174824449,663.290920934,1.46316255694
SKMP_LAL,1.338,7.19770504772e+14,12.5449687193,648.544247758,1.45843458573
SKOP_LAL,1.338,8.21303464386e+14,12.2087111095,498.882910011,1.35929621043
SLY230A_LAL,1.338,8.11685314325e+14,11.8676503523,463.925115831,1.31902476581
SLY2_LAL,1.338,8.44717448867e+14,11.8295352233,439.062955256,1.30074051566
SLY9_LAL,1.338,7.19553193171e+14,12.5112641043,604.18995717,1.43083082074
SLY_LAL,1.338,8.57558452187e+14,11.7623287438,401.917367148,1.28711654881
WFF1_LAL,1.338,1.07020136998e+15,10.41004795,202.192652369,1.08377719788
