EoS,M,rhoc,R,Lambda,I 
AP4_LAL,1.338,8.80736523626e+14,11.4400428,347.961725808,1.24127802526
APR4_EPP,1.338,8.89249805197e+14,11.3331531643,330.941176351,1.2240736218
APR_LAL,1.338,8.90629892574e+14,11.3600432,330.282442928,1.22420056418
BHF_BBB2_LAL,1.338,1.00242079155e+15,11.2364350911,299.879155109,1.19334901428
H3_LAL,1.338,5.9117337888e+14,13.9305381552,1140.43438132,1.70699536104
H4_LAL,1.338,5.43084774542e+14,13.69003155,1181.99376408,1.72674937417
HQC18_LAL,1.338,8.76408315943e+14,11.5116750951,344.9138766,1.23504771539
KDE0V1_LAL,1.338,9.11790539531e+14,11.6954523204,366.598735804,1.25486191377
KDE0V_LAL,1.338,9.4519360633e+14,11.4810862231,339.210676168,1.22431127299
MPA1_LAL,1.338,6.56292382356e+14,12.4355686152,633.682470245,1.45321917262
MS1B_LAL,1.338,4.38554564598e+14,14.5216599287,1625.81052423,1.88557011398
MS1B_PP,1.338,4.34256654511e+14,14.502924809,1583.75362699,1.87275441141
MS1_LAL,1.338,4.291704152e+14,14.8819019234,1804.43511834,1.94366121365
MS1_PP,1.338,4.19326582345e+14,14.9100686046,1779.16028176,1.940738905
RS_LAL,1.338,6.66596678215e+14,12.9883785913,800.518575104,1.54610498795
SK255_LAL,1.338,6.64418986058e+14,13.2185971902,791.298433315,1.54133413472
SK272_LAL,1.338,6.28332959711e+14,13.3742914786,859.667281843,1.57640839918
SKA_LAL,1.338,6.60738652287e+14,12.9581219327,756.041121303,1.52186561354
SKB_LAL,1.338,7.0629840606e+14,12.2200389,647.905130438,1.44827502791
SKI2_LAL,1.338,5.96305862201e+14,13.5416185536,1037.19305394,1.66172899687
SKI3_LAL,1.338,5.77220918037e+14,13.5926085316,1049.78271207,1.66558292412
SKI4_LAL,1.338,7.05978663595e+14,12.400038,650.018709652,1.44623572359
SKI5_LAL,1.338,5.31166728915e+14,14.1381843678,1367.96887863,1.79225226483
SKI6_LAL,1.338,6.90928237116e+14,12.5123227944,661.48138067,1.46314037315
SKMP_LAL,1.338,7.19747044908e+14,12.5423418428,647.098511087,1.45844064093
SKOP_LAL,1.338,8.21200015443e+14,12.2041695705,497.407656137,1.35932016703
SLY230A_LAL,1.338,8.11640486358e+14,11.8648531264,463.589966995,1.31901614172
SLY2_LAL,1.338,8.44720876855e+14,11.8361956369,439.295157091,1.30074668565
SLY9_LAL,1.338,7.19500709636e+14,12.5098331082,602.922575814,1.43081713049
SLY_LAL,1.338,8.57517986777e+14,11.7600412,401.436410772,1.28710482845
WFF1_LAL,1.338,1.07022657895e+15,10.41004795,201.85091076,1.08374490245
