EoS,M,rhoc,R,Lambda,I 
AP4_LAL,1.4,9.08642008765e+14,11.43004285,263.210691221,1.32402132604
APR4_EPP,1.4,9.18069374993e+14,11.3225066509,255.203231964,1.30615885662
APR_LAL,1.4,9.19147220993e+14,11.3515799371,249.401217539,1.30563324214
BHF_BBB2_LAL,1.4,1.05203242526e+15,11.175721381,217.704162648,1.26114137978
H3_LAL,1.4,6.33104234721e+14,13.8519391548,843.714729464,1.79439844084
H4_LAL,1.4,5.72052018096e+14,13.6855214043,910.51635111,1.83101390993
HQC18_LAL,1.4,9.00935579023e+14,11.4934076373,270.681622726,1.31761992598
KDE0V1_LAL,1.4,9.552971821e+14,11.6418287288,270.924334813,1.3279003912
KDE0V_LAL,1.4,9.89825580267e+14,11.4278201349,250.277701753,1.29644141633
MPA1_LAL,1.4,6.72831106161e+14,12.4588050408,490.644611529,1.55382621367
MS1B_LAL,1.4,4.49712256898e+14,14.5458751675,1643.08621267,2.02288230628
MS1B_PP,1.4,4.45045974028e+14,14.5243070747,1404.63904952,2.00423872959
MS1_LAL,1.4,4.40903015633e+14,14.883012482,1720.45460113,2.07622360883
MS1_PP,1.4,4.31394891519e+14,14.9262805841,1689.53170848,2.07539466433
RS_LAL,1.4,6.98577413424e+14,12.9437965888,596.276396245,1.63234492691
SK255_LAL,1.4,6.95090377544e+14,13.1587505866,593.74953789,1.62798871401
SK272_LAL,1.4,6.54605114351e+14,13.3275817464,654.006233643,1.66918969193
SKA_LAL,1.4,6.87919487798e+14,12.9326113473,575.032688015,1.61307226726
SKB_LAL,1.4,7.33980891286e+14,12.2200389,493.581681287,1.53874879457
SKI2_LAL,1.4,6.25580129822e+14,13.5010744983,783.421304168,1.75355742394
SKI3_LAL,1.4,6.02255591875e+14,13.5692150977,800.762045332,1.76376709804
SKI4_LAL,1.4,7.33835467142e+14,12.3832409508,494.170552365,1.53646006177
SKI5_LAL,1.4,5.57294196142e+14,14.1032902489,1026.67542474,1.89045721747
SKI6_LAL,1.4,7.1778728397e+14,12.5026231924,506.293512059,1.55479666803
SKMP_LAL,1.4,7.52319607606e+14,12.5076759001,484.555795843,1.54305731885
SKOP_LAL,1.4,8.6385479672e+14,12.1424420511,367.949641333,1.43388626249
SLY230A_LAL,1.4,8.43406718983e+14,11.839971526,352.409161552,1.40256674928
SLY2_LAL,1.4,8.8075212676e+14,11.7982499602,328.135565797,1.38007403987
SLY9_LAL,1.4,7.48274604307e+14,12.4778194889,454.591120166,1.51909164692
SLY_LAL,1.4,8.93947552589e+14,11.7306425339,300.729016812,1.36585351707
WFF1_LAL,1.4,1.09950919223e+15,10.41004795,151.794668377,1.1591767024
