EoS,M,rhoc,R,Lambda,I 
AP4_LAL,1.4,9.08567426486e+14,11.4269639752,262.643652716,1.32398865436
APR4_EPP,1.4,9.17754396817e+14,11.3226309761,250.653159505,1.30585855518
APR_LAL,1.4,9.19106959094e+14,11.3472634029,248.716940767,1.3055945349
BHF_BBB2_LAL,1.4,1.05190790419e+15,11.1766294435,217.101220712,1.26115877377
H3_LAL,1.4,6.32882247305e+14,13.8552745383,840.160957401,1.79467734084
H4_LAL,1.4,5.71636433176e+14,13.6893104373,898.796978952,1.83138303421
HQC18_LAL,1.4,9.00701422716e+14,11.4957155559,261.645498496,1.31692058431
KDE0V1_LAL,1.4,9.550139988e+14,11.6415427244,268.644700773,1.32795110062
KDE0V_LAL,1.4,9.89572860418e+14,11.4268417032,248.397730377,1.29648500984
MPA1_LAL,1.4,6.7289827313e+14,12.4550054496,490.976351882,1.55387305209
MS1B_LAL,1.4,4.49561180024e+14,14.5527899653,1303.1049546,2.01419406458
MS1B_PP,1.4,4.44979920061e+14,14.5304887911,1273.11558342,2.00182432007
MS1_LAL,1.4,4.40949834138e+14,14.8887725432,1411.83535308,2.06866702728
MS1_PP,1.4,4.31121291404e+14,14.9316212482,1447.42858872,2.07094992717
RS_LAL,1.4,6.98514360983e+14,12.9473439803,593.718559154,1.63237389883
SK255_LAL,1.4,6.94899332555e+14,13.1591394949,588.332648373,1.62802078456
SK272_LAL,1.4,6.54434517215e+14,13.3267979769,645.530536889,1.66915153357
SKA_LAL,1.4,6.87736625489e+14,12.9269492188,568.148318669,1.61303325164
SKB_LAL,1.4,7.33767082495e+14,12.2200389,488.022617766,1.53871002208
SKI2_LAL,1.4,6.25352423895e+14,13.495113176,773.835330564,1.7536979906
SKI3_LAL,1.4,6.0210187432e+14,13.5724160603,793.133225244,1.76379022473
SKI4_LAL,1.4,7.33696237636e+14,12.39003805,489.252723317,1.53641520848
SKI5_LAL,1.4,5.5723884511e+14,14.0979599112,1022.59221719,1.89049408978
SKI6_LAL,1.4,7.1763339815e+14,12.5024910476,500.473816073,1.55472095814
SKMP_LAL,1.4,7.52145605002e+14,12.5106805518,480.595860466,1.54307874871
SKOP_LAL,1.4,8.63380407849e+14,12.1431042018,363.078985718,1.4340458524
SLY230A_LAL,1.4,8.43174710339e+14,11.8437786079,347.836620446,1.40250824814
SLY2_LAL,1.4,8.8051447377e+14,11.7914437885,325.326586053,1.38006749454
SLY9_LAL,1.4,7.48247428292e+14,12.4813651118,454.644926899,1.51909960404
SLY_LAL,1.4,8.9380730246e+14,11.7235538304,298.321203408,1.36585557964
WFF1_LAL,1.4,1.09950249136e+15,10.41004795,151.446411988,1.15912527402
