EoS,M,rhoc,R,Lambda,I 
AP4_LAL,1.4,9.08564995147e+14,11.4282014332,262.306570658,1.32396956468
APR4_EPP,1.4,9.17646537072e+14,11.3227967692,249.144996584,1.30576404024
APR_LAL,1.4,9.19065959302e+14,11.35004325,248.457858682,1.30558745406
BHF_BBB2_LAL,1.4,1.05186196903e+15,11.1759882347,216.91782011,1.26116856484
H3_LAL,1.4,6.3281809496e+14,13.8605125944,839.41254418,1.7947374715
H4_LAL,1.4,5.71633071281e+14,13.69003155,898.701483971,1.83138937923
HQC18_LAL,1.4,9.00630624265e+14,11.4931720398,259.600309919,1.31676209094
KDE0V1_LAL,1.4,9.54949081871e+14,11.640874763,268.113217739,1.32795965593
KDE0V_LAL,1.4,9.89483892359e+14,11.4275477236,247.922901895,1.29650137463
MPA1_LAL,1.4,6.72820331847e+14,12.4579552576,489.128953263,1.55374900507
MS1B_LAL,1.4,4.49498156582e+14,14.5497964134,1276.30682197,2.01315889562
MS1B_PP,1.4,4.44968423818e+14,14.5336399593,1247.51006323,2.00117714492
MS1_LAL,1.4,4.40953117928e+14,14.8894753928,1391.21663453,2.06831066301
MS1_PP,1.4,4.3105936735e+14,14.9268900206,1397.92648619,2.06972939037
RS_LAL,1.4,6.98526654272e+14,12.9457952335,593.550962345,1.63237251847
SK255_LAL,1.4,6.94868134197e+14,13.1642009319,586.886767888,1.62802861712
SK272_LAL,1.4,6.54397331077e+14,13.3281696911,644.881925446,1.66915275955
SKA_LAL,1.4,6.8774220856e+14,12.9339972486,567.64329604,1.61303507582
SKB_LAL,1.4,7.33789670142e+14,12.2200389,487.991042332,1.53869512421
SKI2_LAL,1.4,6.25304217047e+14,13.5013657812,772.14151159,1.75372562456
SKI3_LAL,1.4,6.02057323885e+14,13.5725547389,791.126920852,1.76378699765
SKI4_LAL,1.4,7.33675595468e+14,12.3881466618,489.173430824,1.53641650404
SKI5_LAL,1.4,5.57247903824e+14,14.0966116478,1022.4799866,1.8904960084
SKI6_LAL,1.4,7.17609986177e+14,12.5021675695,499.176318983,1.55471490619
SKMP_LAL,1.4,7.5216572502e+14,12.5078341145,480.656596411,1.54308140501
SKOP_LAL,1.4,8.63333764312e+14,12.1381422958,362.745017526,1.43406721938
SLY230A_LAL,1.4,8.43117772072e+14,11.8445786459,346.722797046,1.40248348787
SLY2_LAL,1.4,8.80497725886e+14,11.7979333985,325.20485788,1.38006236027
SLY9_LAL,1.4,7.48198585367e+14,12.4785462921,453.089287336,1.5190883402
SLY_LAL,1.4,8.93759209436e+14,11.7299868788,297.815344003,1.36584364513
WFF1_LAL,1.4,1.09950126699e+15,10.41004795,151.444559347,1.15912803404
