EoS,M,rhoc,R,Lambda,I 
,1.338,8.80757592316e+14,11.4400428,347.824156446,1.24126484733
,1.338,8.89257075014e+14,11.3333249918,330.680470123,1.22406418107
,1.338,8.90627411373e+14,11.3600432,330.222701972,1.22419209992
,1.338,1.00240722542e+15,11.2346890204,299.807734222,1.19334801961
,1.338,5.91167220122e+14,13.9261101221,1140.18698056,1.70701361713
,1.338,5.43062982385e+14,13.69003155,1181.31970982,1.7267575123
,1.338,8.76414554587e+14,11.5164511819,344.898280218,1.23504913844
,1.338,9.1180380637e+14,11.6950688579,366.552578883,1.25485503178
,1.338,9.45191778164e+14,11.4829587208,339.285409192,1.22431869993
,1.338,6.5630952708e+14,12.4400378,633.043259914,1.45319010515
,1.338,4.38585681493e+14,14.5277776974,1618.36939744,1.88545185605
,1.338,4.34217482038e+14,14.5057063588,1585.98148049,1.8727773839
,1.338,4.29158156732e+14,14.8800256,1806.44944121,1.94367403758
,1.338,4.19371793997e+14,14.9152688557,1793.6345199,1.94100081376
,1.338,6.66616331013e+14,12.9848719904,800.656366015,1.54610575283
,1.338,6.64418862867e+14,13.2173010552,790.902703507,1.5413376338
,1.338,6.28328311098e+14,13.3683076952,859.248234491,1.57640859498
,1.338,6.60723388621e+14,12.9600352,755.686608289,1.52185992774
,1.338,7.06293575283e+14,12.2200389,647.967580441,1.44826920755
,1.338,5.96291554409e+14,13.5440458271,1037.22912968,1.66171615438
,1.338,5.77200751098e+14,13.5952462128,1049.60123429,1.66558709587
,1.338,7.05993592705e+14,12.400038,650.170603913,1.44623471192
,1.338,5.31188455495e+14,14.134723098,1368.07763337,1.79224268993
,1.338,6.90905692881e+14,12.51003745,660.942475921,1.46312874913
,1.338,7.19715014186e+14,12.5497976716,646.65174201,1.45844086751
,1.338,8.21213792153e+14,12.2045192325,497.322415153,1.35931189422
,1.338,8.11624084153e+14,11.8628659535,463.299517383,1.3190141625
,1.338,8.44712759228e+14,11.83004085,438.979615702,1.30073963578
,1.338,7.19520475181e+14,12.51003745,603.298862335,1.43081615131
,1.338,8.57521602863e+14,11.7678159903,401.478060056,1.28711245545
,1.338,1.07024686485e+15,10.41004795,201.849057493,1.08374521295
