EoS,M,rhoc,R,Lambda,I 
AP4_LAL,2.097657066503355,1.4276e+15,10.800046,9.16400328842,2.26415856552
APR4_EPP,2.1589667504451233,1.87838383838e+15,10.19004905,3.78433371976,2.19171109162
APR_LAL,2.0569691713996767,1.40481618044e+15,10.7600462,10.4539100805,2.1773586816
BHF_BBB2_LAL,1.9214729970804425,2.23822222222e+15,9.53005235,5.01981674451,1.5948277886
H3_LAL,1.7901304747635098,1.64496969697e+15,11.87004065,45.5846817244,1.84518490631
H4_LAL,2.031386882758344,1.59106060606e+15,11.7400413,18.1302198899,2.27566761224
HQC18_LAL,2.045028020852069,1.88178551273e+15,10.39004805,7.0776421112,2.01514847346
KDE0V1_LAL,1.9693396518661581,2.13009391881e+15,9.79005105,4.92029121404,1.71179883018
KDE0V_LAL,1.9600199549261572,2.16655733034e+15,9.6600517,4.69364669477,1.67640359064
MPA1_LAL,2.4620191307446193,1.48543434343e+15,11.33004335,3.12518745262,3.18037704759
MS1B_LAL,2.7784218552273803,1.13090909091e+15,13.27003365,4.39601102677,4.75193917283
MS1B_PP,2.7462523382032544,1.14933333333e+15,13.2200339,4.70029651867,4.62580317978
MS1_LAL,2.7700302964235877,1.09963636364e+15,13.3800331,4.73279956213,4.75145490088
MS1_PP,2.752718535843252,1.14933333333e+15,13.3000335,4.6463500077,4.65145323536
RS_LAL,2.116453648773182,1.78012647016e+15,10.77004615,6.18821095883,2.18714141085
SK255_LAL,2.1439744003621013,1.76373355867e+15,10.8400458,5.56636031964,2.24280942212
SK272_LAL,2.2314292916215472,1.65023648281e+15,11.1000445,5.03391416263,2.49751829749
SKA_LAL,2.2081931780554394,1.70328419899e+15,10.89004555,4.83177092561,2.40814923604
SKB_LAL,2.1879925534970446,1.75525280698e+15,10.6200469,4.73641842058,2.33461616521
SKI2_LAL,2.1627176815433233,1.68832260186e+15,11.11004445,6.58338359921,2.35213392143
SKI3_LAL,2.2397353318347686,1.60274511667e+15,11.3200434,5.89285113729,2.5753406212
SKI4_LAL,2.1693072631823584,1.75557625159e+15,10.69004655,5.18641558659,2.30017335518
SKI5_LAL,2.2399850767020113,1.58558271428e+15,11.4600427,6.27696698629,2.5948451004
SKI6_LAL,2.18972602763325,1.73577722979e+15,10.7600462,4.98223881608,2.35674262426
SKMP_LAL,2.1069485219048594,1.82914250647e+15,10.55004725,5.51656080282,2.12661082074
SKOP_LAL,1.972699919350168,2.01976902521e+15,10.15004925,6.55753068349,1.78521558934
SLY230A_LAL,2.098896972240019,1.89596426903e+15,10.2600487,4.83072191216,2.06491330893
SLY2_LAL,2.053514671029844,1.99075073197e+15,10.05004975,4.60583701136,1.92178275658
SLY9_LAL,2.1558284242720105,1.7911949267e+15,10.6200469,4.88197306778,2.2441016428
SLY_LAL,2.0490888861382097,2.00021212121e+15,10.00005,4.43746433215,1.90546550294
WFF1_LAL,1.92368236649423,1.44579955896e+15,10.200049,12.9653379634,1.84408444948
