rhoc,R,M,Lambda
4.159557788944723750e+14,1.236003819999995201e+01,4.832457638757651219e-01,9.241785188948869472e+04
4.233386934673366875e+14,1.232003839999995165e+01,5.066470610315630951e-01,7.469703475218941458e+04
4.307216080402010000e+14,1.230003849999995147e+01,5.303252757011621688e-01,6.076968366900792171e+04
4.381045226130653125e+14,1.228003859999995129e+01,5.541599367900849060e-01,4.978881388299324317e+04
4.454874371859296250e+14,1.226003869999995288e+01,5.781176943062426021e-01,4.106190170294505515e+04
4.528703517587940000e+14,1.224003879999995270e+01,6.022049020961522947e-01,3.407104466695045994e+04
4.602532663316582500e+14,1.224003879999995270e+01,6.264117647814761991e-01,2.842717748511854734e+04
4.676361809045226250e+14,1.224003879999995270e+01,6.508638496574958854e-01,2.381801248515293992e+04
4.750190954773869375e+14,1.224003879999995270e+01,6.757304105368070468e-01,2.001092944842854922e+04
4.824020100502512500e+14,1.224003879999995270e+01,7.008094334664555225e-01,1.687848627116763964e+04
4.897849246231155625e+14,1.224003879999995270e+01,7.260929166880828456e-01,1.428826218233997133e+04
4.971678391959798750e+14,1.224003879999995270e+01,7.517428421852770937e-01,1.212391698920840645e+04
5.045507537688442500e+14,1.224003879999995270e+01,7.779498278974357195e-01,1.029874381386312598e+04
5.119336683417085000e+14,1.226003869999995288e+01,8.042146523858737517e-01,8.783377395882638666e+03
5.193165829145728750e+14,1.226003869999995288e+01,8.304673156542375922e-01,7.522090662225379674e+03
5.266994974874371875e+14,1.228003859999995129e+01,8.573644596984547617e-01,6.442614171342083864e+03
5.340824120603015000e+14,1.228003859999995129e+01,8.842525854364717830e-01,5.539084568484752708e+03
5.414653266331658125e+14,1.230003849999995147e+01,9.110514902755849631e-01,4.780945803072818308e+03
5.488482412060301250e+14,1.230003849999995147e+01,9.385534253719929332e-01,4.124306254529209582e+03
5.562311557788944375e+14,1.232003839999995165e+01,9.659687257271755145e-01,3.570926694066854907e+03
5.636140703517587500e+14,1.234003829999995183e+01,9.933826192445098791e-01,3.101094365876084794e+03
5.709969849246231250e+14,1.234003829999995183e+01,1.021461714434975798e+00,2.691397179523768500e+03
5.783798994974875000e+14,1.236003819999995201e+01,1.049143909818773146e+00,2.346705575639161907e+03
5.857628140703517500e+14,1.236003819999995201e+01,1.077398576635684391e+00,2.045641370074148654e+03
5.931457286432160000e+14,1.238003809999995219e+01,1.105479713031386035e+00,1.789033497084176133e+03
6.005286432160803750e+14,1.240003799999995238e+01,1.133671160928363175e+00,1.567338351495903225e+03
6.079115577889447500e+14,1.240003799999995238e+01,1.162008278903803538e+00,1.375196082846134459e+03
6.152944723618090000e+14,1.242003789999995078e+01,1.190058286416773026e+00,1.210610759337296258e+03
6.226773869346733750e+14,1.242003789999995078e+01,1.218495442844331977e+00,1.065903585983872517e+03
6.300603015075377500e+14,1.244003779999995096e+01,1.246333245660622646e+00,9.426305036286619270e+02
6.374432160804020000e+14,1.244003779999995096e+01,1.274755638384656553e+00,8.329333125802160112e+02
6.448261306532662500e+14,1.246003769999995114e+01,1.302649856043810450e+00,7.387987428333635762e+02
6.522090452261306250e+14,1.246003769999995114e+01,1.330928960938792871e+00,6.551642974868335614e+02
6.595919597989950000e+14,1.248003759999995133e+01,1.358842445812224575e+00,5.826999137589243674e+02
6.669748743718592500e+14,1.248003759999995133e+01,1.386651071324804585e+00,5.191669818811667483e+02
6.743577889447236250e+14,1.250003749999995151e+01,1.414290523212029971e+00,4.633636236004840612e+02
6.817407035175880000e+14,1.250003749999995151e+01,1.441449222001675912e+00,4.148523410025318299e+02
6.891236180904522500e+14,1.250003749999995151e+01,1.468542638584178883e+00,3.718641328560489683e+02
6.965065326633165000e+14,1.252003739999995169e+01,1.494888484465624945e+00,3.346326890727872296e+02
7.038894472361808750e+14,1.252003739999995169e+01,1.521374375304535009e+00,3.011729223070900616e+02
7.112723618090452500e+14,1.252003739999995169e+01,1.546980407233157218e+00,2.722033531541757725e+02
7.186552763819095000e+14,1.252003739999995169e+01,1.572591748551760427e+00,2.461762157173038759e+02
7.260381909547738750e+14,1.252003739999995169e+01,1.597583190270872588e+00,2.232896896363425299e+02
7.334211055276382500e+14,1.254003729999995009e+01,1.622265797835912959e+00,2.028601581720742502e+02
7.408040201005025000e+14,1.254003729999995009e+01,1.646589689181508165e+00,1.846245793538505495e+02
7.481869346733667500e+14,1.254003729999995009e+01,1.670258237238799515e+00,1.685118847688233075e+02
7.555698492462311250e+14,1.254003729999995009e+01,1.693875216947800411e+00,1.538800094810529231e+02
7.629527638190955000e+14,1.254003729999995009e+01,1.716568382466841181e+00,1.410284623216187470e+02
7.703356783919597500e+14,1.254003729999995009e+01,1.739309227349240539e+00,1.292718475670777423e+02
7.777185929648241250e+14,1.254003729999995009e+01,1.761224072303070098e+00,1.188562346216951084e+02
7.851015075376885000e+14,1.254003729999995009e+01,1.782977055851218795e+00,1.093816836643315469e+02
7.924844221105527500e+14,1.254003729999995009e+01,1.804095783568387734e+00,1.008937215345938512e+02
7.998673366834170000e+14,1.254003729999995009e+01,1.824837904774474273e+00,9.319129198113422774e+01
8.072502512562813750e+14,1.252003739999995169e+01,1.845187568671237122e+00,8.620405181303891595e+01
8.146331658291457500e+14,1.252003739999995169e+01,1.864925747966714731e+00,7.991580413071342548e+01
8.220160804020100000e+14,1.252003739999995169e+01,1.884541648792252833e+00,7.410610122724523308e+01
8.293989949748743750e+14,1.252003739999995169e+01,1.903353159613463408e+00,6.893017205602555464e+01
8.367819095477386250e+14,1.250003749999995151e+01,1.922167082196697185e+00,6.409434468789946493e+01
8.441648241206030000e+14,1.250003749999995151e+01,1.940272061688949279e+00,5.975155072445270577e+01
8.515477386934672500e+14,1.250003749999995151e+01,1.958175455980262880e+00,5.573057872549907188e+01
8.589306532663316250e+14,1.250003749999995151e+01,1.975539625176141234e+00,5.206938763220128408e+01
8.663135678391960000e+14,1.248003759999995133e+01,1.992519156424991111e+00,4.871782089941510918e+01
8.736964824120602500e+14,1.248003759999995133e+01,2.009114779876153278e+00,4.562174678910795933e+01
8.810793969849246250e+14,1.246003769999995114e+01,2.025159517985165358e+00,4.281525050720041037e+01
8.884623115577888750e+14,1.246003769999995114e+01,2.040971825189700439e+00,4.019295956748306509e+01
8.958452261306532500e+14,1.246003769999995114e+01,2.056124090753614464e+00,3.781951304799009250e+01
9.032281407035175000e+14,1.244003779999995096e+01,2.071114585317396450e+00,3.559654835035387066e+01
9.106110552763818750e+14,1.244003779999995096e+01,2.085514940858633093e+00,3.356870521724277978e+01
9.179939698492462500e+14,1.242003789999995078e+01,2.099649734993676464e+00,3.167952198207439451e+01
9.253768844221105000e+14,1.242003789999995078e+01,2.113308215921197775e+00,2.994081905940411303e+01
9.327597989949748750e+14,1.240003799999995238e+01,2.126618664134443559e+00,2.832576544707351118e+01
9.401427135678391250e+14,1.240003799999995238e+01,2.139562234565353549e+00,2.682354253914371967e+01
9.475256281407035000e+14,1.238003809999995219e+01,2.152055246163904645e+00,2.544094129640740931e+01
9.549085427135677500e+14,1.236003819999995201e+01,2.164320127769099766e+00,2.414104969815593904e+01
9.622914572864321250e+14,1.236003819999995201e+01,2.176051185926520581e+00,2.294264590045038688e+01
9.696743718592965000e+14,1.234003829999995183e+01,2.187660941031334350e+00,2.181105398999978462e+01
9.770572864321607500e+14,1.234003829999995183e+01,2.198789602332972937e+00,2.076631773522323954e+01
9.844402010050251250e+14,1.232003839999995165e+01,2.209443167477139536e+00,1.980066165114502752e+01
