rhoc,R,M,Lambda
224000000000000.0,19.999999999999915,0.08466551737115469,907856208.0943317
255676767676767.7,19.999999999999915,0.10025108269873508,171503749.51244843
287353535353535.4,19.24000379999992,0.1449088342061657,16736490.675446413
319030303030303.0,14.060029699999944,0.22529484202016406,2271465.185944914
350707070707070.7,12.660036699999951,0.3394020257284903,412811.811556667
382383838383838.4,12.320038399999952,0.48870935270989224,90855.4551674749
414060606060606.06,12.400037999999952,0.6732243706642664,23277.2151038293
445737373737373.75,12.62003689999995,0.8893490167977383,6811.394663514352
477414141414141.4,12.92003539999995,1.1291615124708447,2255.7689730630304
509090909090909.06,13.100034499999948,1.2783402598294604,1240.1611910680335
540767676767676.75,13.120034399999948,1.2947773302230092,1163.9897483721156
572444444444444.5,13.120034399999948,1.307929409346151,1105.4875397125834
604121212121212.1,13.140034299999948,1.3184253761332456,1059.4677453606682
635797979797979.8,13.140034299999948,1.326808762916011,1022.6650049891383
667474747474747.5,13.140034299999948,1.3334533719716875,992.8495448614303
699151515151515.1,13.140034299999948,1.3386688858252958,968.3568914730919
730828282828282.8,13.140034299999948,1.3427001070052897,948.1260235955976
762505050505050.5,13.120034399999948,1.3457596038427406,931.253714834612
794181818181818.1,13.120034399999948,1.347990273363901,917.189270881194
825858585858585.9,13.120034399999948,1.349536498853408,905.3631496307341
857535353535353.5,13.100034499999948,1.3504923055461682,895.4007780421991
889212121212121.2,13.100034499999948,1.350966240664133,887.0657911890559
920888888888888.9,13.080034599999948,1.3510131374668943,880.0769822141507
